Split,Subset,NumSamples,MSE,RMSE,MAE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
Val,Cold_Business,23115,2.476931571960449,1.5738270463937418,1.3086107969284058,0.13137113878368323,0.7487142397942783,0.9862489173292096,0.920337624113784,0.7455358099523962,0.9967390065370069,0.9224376430397192,0.7450532267538337,0.9998449192734328,0.9234027566612125
Val,Cold_User_Only,328837,1.974963665008545,1.4053340047862448,1.1111977100372314,0.2501729153231227,0.7864282811865094,0.9999532710280373,0.9574211685220955,0.7864323445753758,1.0,0.957436636981458,0.7864323445753758,1.0,0.957436636981458
Val,Cold_Business_Only,10652,1.8277357816696167,1.351937787647648,1.0340814590454102,0.17841449885517136,0.7474878724878724,0.9851768474744184,0.917579780066373,0.744061644061644,0.9964847710799128,0.9198435218815445,0.7435414374328402,0.9998328287801973,0.9208838782489962
Val,Any_Cold,351952,2.0079312324523926,1.4170149019867055,1.1241631507873535,0.24185267230042018,0.7844933457134015,0.9994276741790302,0.9555826217526471,0.7843709304210698,0.999874404820014,0.9556776411922425,0.7843523440226701,0.9999940271601317,0.9557148119564204
Val,Both_Cold,12463,3.031792640686035,1.7412043649974105,1.5432482957839966,0.09510313586887942,0.7644444444444444,1.0,0.9557115704285748,0.7644444444444444,1.0,0.9557115704285748,0.7644444444444444,1.0,0.9557115704285748
Val,Warm,347076,1.2442399263381958,1.1154550310694715,0.8559310436248779,0.26474164935872835,0.7627679000480538,0.9291930944016743,0.9269283327948896,0.7506794022003056,0.9796145619332947,0.9357347856131164,0.7463243066545112,0.9953658106701387,0.9390386289758843
Test,Overall,699028,1.638910174369812,1.2801992713518517,0.9938309192657471,0.250591054242565,0.7670996630608262,0.9490552075365001,0.9338990333650872,0.7588852972988568,0.9850623857861709,0.9404170390718386,0.7557982699766902,0.9964823310186138,0.942844935691301
Test,Cold_User,341718,2.027850389480591,1.4240261196623434,1.1307984590530396,0.24143657355663395,0.7817488106565176,0.9999841420869015,0.9540278741941017,0.7817185446966608,1.0,0.954033166532047,0.7817185446966608,1.0,0.954033166532047
Test,Cold_Business,23200,2.492708683013916,1.5788314295750248,1.3109989166259766,0.12245836674441901,0.7731515711645102,0.9838351343665578,0.925963115255763,0.7712261244608749,0.9966473811667897,0.9297476637745751,0.7711207461669569,0.9999339846844469,0.9309225865432027
Test,Cold_User_Only,329269,1.9904025793075562,1.4108162812030332,1.1155580282211304,0.2482234104468527,0.7825725918782813,0.9999832583306547,0.9548401917376851,0.7825459965406927,1.0,0.9548457790158718,0.7825459965406927,1.0,0.9548457790158718
Test,Cold_Business_Only,10751,1.8840749263763428,1.3726160884880896,1.0528970956802368,0.16246200924554077,0.7686793080505656,0.9825445263319516,0.9241036561052391,0.7666001330671989,0.9963797070084496,0.9281903641864312,0.7664863413366407,0.9999287140005703,0.929459093164131
Test,Any_Cold,352469,2.023465156555176,1.4224855558335823,1.1284221410751343,0.23944062994913717,0.7812687123461768,0.999343510969606,0.9529286306363409,0.7811631812603327,0.9998670112703913,0.953083850700016,0.781159001207027,0.9999973813626342,0.9531304565010812
Test,Both_Cold,12449,3.018326997756958,1.7373333007103036,1.533896565437317,0.09295606750072272,0.8291666666666668,1.0,0.9492528411160756,0.8291666666666668,1.0,0.9492528411160756,0.8291666666666668,1.0,0.9492528411160756
Test,Warm,346559,1.2477972507476807,1.117048454968575,0.8569442629814148,0.261576202636695,0.7619860543399856,0.9295376183225635,0.9265348026296156,0.7503228416476794,0.9796342785314976,0.9355456887644877,0.7460618461638798,0.9953568708813395,0.938931528153229
